•ÈÀweb-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
1554328934-3583,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@Red_N_Right,J. Scott Davis,Hideous: Yale Law School Discriminates Against Christians | Rush Limbaugh https://www.rushlimbaugh.com/daily/2019/04/02/hideous-yale-law-school-discriminates-against-christians/åÊ‰Û_ #Yale,0,2,0,1.55E+12,4/2/2019 15:59,/Red_N_Right/status/1113214478730944513
1554328934-3616,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@MrDisability,Thomas Gill,"Important new findings about ""taking to bed"" at the end of life from #NIA-supported PEP Study at #Yale Program on Aging/Pepper Center https://twitter.com/AGSJournal/status/1108532439436140544åÊ‰Û_",0,7,12,1.55E+12,3/21/2019 6:45,/MrDisability/status/1108726407201476608
1554328934-3632,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@mrubin1971,Michael Rubin,"#Yale admissions scandal is the latest disaster under #PeterSalovey's watch, ICYMI: My article from last week asking why, with such lackluster leadership, @Yale's president still has a job: https://www.washingtonexaminer.com/opinion/yale-pays-the-price-for-subordinating-scholarship-to-social-justiceåÊ‰Û_ @AEIeducation @AEIforStudents",1,14,27,1.55E+12,3/12/2019 16:55,/mrubin1971/status/1105618235616096256
1554328934-3580,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@FatimaAlAnsar2,Fatima Al Ansar,I am honored to be speaking at Yale University next week during Yale African Peace and Development Conference. I will be talking about access to education for girls and women in times of conflict. #EducationForAll #Yale #peace #Africapic.twitter.com/UX7MdooTjS,1,6,29,1.55E+12,3/27/2019 11:17,/FatimaAlAnsar2/status/1110969178486386691
1554328934-3646,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@RyanWrightRNG,Ryan Wright,2020 St. John Bosco OC Che Womack @CheWomack Football Update Interview from Under Armour All-American Camp: https://www.recruitingnewsguru.com/2020-st-john-bosco-oc-che-womack-football-update-interview/åÊ‰Û_ @boscofootball #UPenn #GoBuffs #RoarLionRoar #Yale,1,9,32,1.55E+12,3/3/2019 18:14,/RyanWrightRNG/status/1102391825451479042
1554328934-3600,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@TendiesCapital,Tendies Capital,"""21-Year-Old Yale Alum Accused of Running Hedge Fund Scam by SEC"" -BN #SEC #Hedgefund #Yale",0,0,1,1.55E+12,4/1/2019 13:03,/TendiesCapital/status/1112807792849678339
1554328934-3685,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@Darkfringeradio,Dark Fringe RadioåÊ_Ù_ª,"Inside Skull & Bones, The Elite ""Openly Secret"" Society With Highly Influential Members.......
#truth #secretsociety #yale #skullandbones #influence #occult #bush #Darkfringeradio 
Live And Follow!!!
https://m.ranker.com/list/skull-and-bones-secret-society-facts/jacob-shelton?var=6&utm_expid=16418821-424.rYNi5-_cTHuEUfUhdsjseg.5&utm_source=facebook&utm_medium=pd&pgid=642850749204637&utm_campaign=Inside_Skull_Bones&asid=23843110629570782&psid=1298547423634963&utm_referrer=https%3A%2F%2Fl.facebook.com%2FåÊ‰Û_pic.twitter.com/JDcQuxt5N1",0,0,1,1.55E+12,1/1/2019 17:05,/Darkfringeradio/status/1080268914188345345
1554328934-3615,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@MarkLazerus,Mark Lazerus,"Well, the bracket someone left on John Hayden's locker stall yesterday just got busted. #Yale",1,2,30,1.55E+12,3/21/2019 11:51,/MarkLazerus/status/1108803249363128325
1554328934-3602,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@keaner62,Bob Kean,I am looking for a buyer on 5 Pine Street #Yale #MI  #realestatehttp://tour.coldwellbankerprofessionals.net/home/DMMTJA,0,0,0,1.55E+12,4/2/2019 11:06,/keaner62/status/1113140662709436418
1554328934-3678,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@BKpub,Berrett-Koehler,"In #Britain, @Budweiser will soon be brewed using 100 percent #solarpower. https://hubs.ly/H0f-lS-0åÊ @YaleE360 #yale",0,0,1,1.55E+12,1/2/2019 9:00,/BKpub/status/1080509033772126208
1554328934-3609,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@taiskates,Tai Babilonia,"Dear @nathanwchen, you are a rockstar! Congrats! #WorldFigure  #2xWorldChampion #Yale #Respecthttps://twitter.com/fsonline/status/1109429424238276608åÊ‰Û_",0,8,142,1.55E+12,3/23/2019 8:17,/taiskates/status/1109474130259140608
1554328934-3614,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@Oreo,Oreo Cookie,The most epic cookies of all time are here. #GameOfCookies #ForTheThronepic.twitter.com/Bs91HN7IgU,25,188,584,1.55E+12,4/2/2019 7:28,/Oreo/status/1113085867135037440
1554328934-3691,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@NHRJimFuller,Jim Fuller,"#Yale coach Keith Allain's thoughts on facing #UConn: ""I love playing UConn. They have a great staff, do things the right way. It is a game we enjoy as well. We' ve talked about playing them on a fairly regular basis moving forward.""",0,2,9,1.55E+12,12/31/2018 16:22,/NHRJimFuller/status/1079895729232117760
1554328934-3690,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@JPPierson,John Pierson,Adam Huska dazzles in @UConnMHOC first-ever win over @YaleAthletics  @adamhuska30 @WTNH #UConn #Yale #Hockeyhttps://www.wtnh.com/sports/college/uconn-huskies/huska-backstops-uconn-men-s-hockey-to-program-s-first-ever-win-over-yale/1681539103åÊ‰Û_,1,3,17,1.55E+12,12/31/2018 16:33,/JPPierson/status/1079898339003547654
1554328934-3586,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@bykaren,Karen Crouse,"The antithesis of a college admissions scandal story: @nathanwchen's coach has seen Olympic champions whose gold medals don't help them in life so he encouraged this ""independent study project"" at #Yale: https://www.nytimes.com/2019/03/17/sports/nathan-chen-yale.htmlåÊ‰Û_",6,71,203,1.55E+12,3/17/2019 6:59,/bykaren/status/1107280381512945667
1554328934-3611,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@_jimmystewart,Jimmy Stewart,"Hack Mental Health, a hackathon aimed at developing technological solutions to mental health concerns.

Would love to see more of these.  Thanks to #Google for sponsoring and #Yale for taking on such an important issue.

#Technology #MentalHealthhttp://ow.ly/3UMl30o997v",2,4,9,1.55E+12,3/22/2019 5:00,/_jimmystewart/status/1109062238890065920
1554328934-3608,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@thatsjustgary,Gary Snyder,"""One guy sang. And soon, a choir."" But who wrote the music? The man attended #Yale himself, had one daughter already graduate from the school and two attending it now. Given the dynastic ways of these schools, does this sound like a man who needed to pay more than tuition? #dealshttps://twitter.com/LATimesfarmer/status/1112399228125368325åÊ‰Û_",0,0,0,1.55E+12,3/31/2019 11:15,/thatsjustgary/status/1112418244483264519
1554328934-3655,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@zoltan_istvan,Zoltan Istvan,I gave a talk 2 a Phil/Rel class of about 100 @ #Yale U today. The speech & Q&A (done virtually from my home (see pic)) was on #transhumanism and #Nietzsche (which my novel The Transhumanist Wager explores). The class was given this article as homework: https://www.nytimes.com/2017/02/09/magazine/600-miles-in-a-coffin-shaped-bus-campaigning-against-death-itself.htmlåÊ‰Û_pic.twitter.com/SQ8LX1ncel,0,6,16,1.55E+12,2/7/2019 19:32,/zoltan_istvan/status/1093714048036683776
1554328934-3662,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@RyanWrightRNG,Ryan Wright,Offseason Update Interview with 2020 #SanDiego QB DJ Ralph @DJRalph7 from a @premiumsportsla showcase on RNG: https://www.recruitingnewsguru.com/offseason-update-interview-with-2020-san-diego-qb-dj-ralph/åÊ‰Û_ #GoCougs #GoWyo #GoUtes #Yale #GoAztecs,1,8,22,1.55E+12,1/28/2019 12:44,/RyanWrightRNG/status/1089987573546594304
1554328934-3599,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@LewisWalpoleLib,LewisWalpoleLibrary,"Winterer is coming...
""Was There an American Enlightenment?""
Thursday, April 4, 5:30 pm
Yale Center for British Art Lecture Hall
1080 Chapel Street, New Haven
The 24th Lewis Walpole Library Lecture
https://walpole.library.yale.edu/programs/lectures-conferencesåÊ‰Û_
#yale pic.twitter.com/b5h260NfV3",0,2,3,1.55E+12,4/1/2019 11:53,/LewisWalpoleLib/status/1112790224441102336
1554328934-3644,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@GeoWashPundit,GeorgeåÊ_Ùà¼_ÙàüPunditåÊ_Ùà¼_Ùàü,"Physical intimidation and bullying of conservative and American students rampant at #Yale / #YaleLaw, with faculty complicity, as decent students attempt to stand up to liberal‰Ûªs #antiSemitism and anti-Christian bigotry cloaked as ‰ÛÏintersectionality‰Û.http://thefederalist.com/2019/03/04/thought-christian-constitutionalist-yale-law-school-wrong/åÊ‰Û_",2,38,22,1.55E+12,3/8/2019 6:37,/GeoWashPundit/status/1104028322286067712
1554328934-3640,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@Yale_OIA,Yale OIA,"Supporting YSPH initiative, Yale VP visits health center in Ethiopia https://news.yale.edu/2019/03/12/supporting-ysph-initiative-yale-vp-visits-health-center-ethiopiaåÊ‰Û_ @YaleGH @YaleSPH @YaleSOM @YaleMacMillan @Yale @YaleCIPE @JacksonYale @YaleMed #Yale @YaleAfrica @EddieMandhry @YaleIMed @SaadOmer3 @erikalinnander",0,9,17,1.55E+12,3/12/2019 11:19,/Yale_OIA/status/1105533820156198912
1554328934-3659,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@Change,Change.org,"Some believe the Sackler family behind Purdue Pharma were directly involved in misleading the public on OxyContin. If you do too, take over this petition and tell #Yale they should rename their buildings. Email us and mention this petition: campaignslab... http://bit.ly/2GeU7fi",1,16,16,1.55E+12,1/31/2019 7:59,/Change/status/1091002937185308674
1554328934-3589,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@YaleDivLibrary,Yale Div Library,"Here are a few shots from today‰Ûªs wonderful Marquand Service. Thanks to all the student readers, chapel ministers and library staff who made it possible!
#yaledivinityschool #yale #specialcollections #worship #chapel #divinityschool #archives #bibles #missions #bible #bookspic.twitter.com/zJo9qKp4Qt",0,1,2,1.55E+12,4/2/2019 10:43,/YaleDivLibrary/status/1113134875870203912
1554328934-3653,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@stevegiovinco,Steve Giovinco,"These Kodachrome photographs by Tod Papageorge are both an amazing look at a by-gone era of New York, but it also represents a different time in photography where film and the street was king.  https://nyti.ms/2UO0hadåÊ #Yale @mep_paris @TPGallery @HausderKunst @FlakPhoto",0,5,9,1.55E+12,2/8/2019 8:31,/stevegiovinco/status/1093910136475791366
1554328934-3636,https://twitter.com/search?l=&q=%23yale%20since%3A2019-01-01%20until%3A2019-04-03&src=typd&lang=en,@pictureplane,PICTUREPLANEåÊ_ÙÎª,"George W Bush's grandather, Prescott Bush, robbed Geronimo's grave in Arizona, stole his skull and brought it back to Yale, where it has been inside the Skull and Bones secret society temple ever since. Geronimo's family sued the school trying to get the skull back in 2009. #yale pic.twitter.com/RlX0aCcdEB",2,13,59,1.55E+12,3/12/2019 16:33,/pictureplane/status/1105612883948376064
